기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,원본_연도,연도,분기,분기_순서,추정_평균_결제금액,결제금액_극단값_후보,분기_결제금액_Q1,분기_결제금액_Q3,결제금액_수준,유사_업종_점포_수,비프랜차이즈_추정_점포_수,프랜차이즈_점포_수,프랜차이즈_비중_%,개업_점포_수,폐업_점포_수,점포_연결_상태,프랜차이즈_존재_여부,프랜차이즈_비중_구간,총_직장_인구_수,직장인구_연결_상태,총_상주인구_수,상주인구_연결_상태,직장_상주_상대지수_%,전년동기_매출_금액,현재_매출_YoY_%,예측대상_년분기_코드,다음분기_매출_YoY_%,매출하락위험_10,매출추세_위험점수,매출추세_위험구간,전년동기_매출_건수,현재_매출건수_YoY_%,거래활동_위험점수,거래활동_위험구간,1차_위험신호지수,1차_위험신호_구간,직전분기_매출_YoY_%,하락지속_유형,하락지속_위험점수,2차_위험신호지수,2차_위험신호_구간,전년동기_점포_수,점포수_전년차이,점포수_변화_유형,점포감소_위험점수,3차_위험신호지수,총_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,평일_유동인구_수,주말_유동인구_수,길단위인구_연결_상태,총_유동인구_YoY_%,오전_유동인구_YoY_%,점심_유동인구_YoY_%,오후_유동인구_YoY_%,저녁_유동인구_YoY_%,평일_유동인구_YoY_%,주말_유동인구_YoY_%,연결_역명,최근접_역_거리_m,지하철_영향권_여부,오전_일평균_승하차,점심_일평균_승하차,오후_일평균_승하차,저녁_일평균_승하차,전체_일평균_승하차,오전_일평균_승하차_전년동기,점심_일평균_승하차_전년동기,오후_일평균_승하차_전년동기,저녁_일평균_승하차_전년동기,전체_일평균_승하차_전년동기,지하철_오전_YoY_%,지하철_점심_YoY_%,지하철_오후_YoY_%,지하철_저녁_YoY_%,지하철_전체_YoY_%
20211,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,65200102,9038,2021,2021,1,0,7213.996680681566,False,5998.794168662757,9098.058823529413,중결제금액 상권,4,2,2,50.0,0,0,both,1,프랜차이즈 비중 높음,406.0,both,629,both,39.227053140096615,,,20212,,,,,,,,,,,,,,,,,,,,,500383.0,108655.0,103294.0,64726.0,67792.0,90836.0,65078.0,362728.0,137655.0,both,,,,,,,,독립문,0.0,1,3643.4555555555557,1901.5777777777778,2071.1555555555556,2809.411111111111,11090.844444444445,,,,,,,,,,
20212,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,100500218,12438,2021,2021,2,1,8080.094709760411,False,5891.556029882604,8573.444424362913,중결제금액 상권,4,2,2,50.0,0,0,both,1,프랜차이즈 비중 높음,406.0,both,629,both,39.227053140096615,,,20213,,,,,,,,,,,,,,,,,,,,,508505.0,109230.0,104769.0,64891.0,69291.0,93409.0,66918.0,369891.0,138613.0,both,,,,,,,,독립문,0.0,1,4356.252747252747,2177.4615384615386,2414.098901098901,3113.6593406593406,12840.703296703297,,,,,,,,,,
20213,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,88513473,11396,2021,2021,3,2,7767.0650228150225,False,5839.193957419871,8636.131287397724,중결제금액 상권,4,2,2,50.0,0,0,both,1,프랜차이즈 비중 높음,406.0,both,629,both,39.227053140096615,,,20214,,,,,,,,,,,,,,,,,,,,,543648.0,122848.0,112650.0,67944.0,71372.0,97892.0,70943.0,393542.0,150105.0,both,,,,,,,,독립문,0.0,1,3736.586956521739,1861.2065217391305,2003.2608695652175,2726.967391304348,10930.467391304348,,,,,,,,,,
20214,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,75358386,9989,2021,2021,4,3,7544.137150865952,False,5866.266091049434,8801.59810693773,중결제금액 상권,4,2,2,50.0,1,1,both,1,프랜차이즈 비중 높음,492.0,both,629,both,43.889384478144514,,,20221,-5.915957002643957,0,,,,,,,,,,,,,,,,,,,558906.0,131794.0,117289.0,69554.0,72336.0,96681.0,71251.0,403455.0,155450.0,both,,,,,,,,독립문,0.0,1,4159.065217391304,2211.5108695652175,2456.0108695652175,2938.1739130434785,12450.978260869566,,,,,,,,,,
20221,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,61342892,7930,2022,2022,1,4,7735.547540983606,False,6012.4402067461915,8819.374418330073,중결제금액 상권,4,2,2,50.0,0,0,both,1,프랜차이즈 비중 높음,492.0,both,629,both,43.889384478144514,65200102.0,-5.915957002643957,20222,-10.920034024204806,1,67.98179059180576,높음,9038.0,-12.259349413587072,75.72078907435508,매우 높음,71.07738998482549,높음,,,,,,4.0,0.0,변화 없음,50.0,,529340.0,124769.0,110475.0,67267.0,69263.0,91107.0,66461.0,380341.0,149000.0,both,5.7869671831377145,6.952001084283688,3.9257794394833567,2.169872551333496,0.29833986525167333,4.8557045499658225,8.24161853910137,독립문,0.0,1,3521.733333333333,1989.0777777777778,2164.777777777778,2738.9444444444443,11086.033333333333,3643.4555555555557,1901.5777777777778,2071.1555555555556,2809.411111111111,11090.844444444445,-3.34084553430658,4.6014420773392795,4.520289264178889,-2.5082362060851016,-0.043379123521314344
20222,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,89525560,11260,2022,2022,2,5,7950.7602131438725,False,6068.468546708301,9156.19978554743,중결제금액 상권,4,2,2,50.0,0,0,both,1,프랜차이즈 비중 높음,492.0,both,629,both,43.889384478144514,100500218.0,-10.920034024204806,20223,1.4540430472093302,0,73.59635811836115,높음,12438.0,-9.47097604116417,63.42943854324734,높음,69.52959028831563,높음,-5.915957002643957,두 분기 연속 감소,100.0,75.82701062215477,매우 높음,4.0,0.0,변화 없음,50.0,71.95295902883156,581730.0,127371.0,124419.0,76314.0,79292.0,103779.0,70554.0,419964.0,161764.0,both,14.400055063372053,18.75554791970908,17.603365643925972,14.433331890144462,11.101713967604843,13.537231238391856,16.70189664750059,독립문,0.0,1,4590.857142857143,2483.5164835164837,2702.021978021978,3237.5714285714284,13768.934065934065,4356.252747252747,2177.4615384615386,2414.098901098901,3113.6593406593406,12840.703296703297,5.385463360736997,14.055584433936087,11.926730789364681,3.9796289303070775,7.228815648042275
20223,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,89800497,10453,2022,2022,3,6,8590.882713096718,False,6113.910701267806,9441.578939113388,중결제금액 상권,4,2,2,50.0,0,0,both,1,프랜차이즈 비중 높음,492.0,both,629,both,43.889384478144514,88513473.0,1.4540430472093302,20224,0.7371694505240667,0,52.615844544095665,높음,11396.0,-8.27483327483327,57.548579970104626,높음,54.58893871449925,높음,-10.920034024204806,직전 분기만 감소,25.0,48.572496263079216,보통,4.0,0.0,변화 없음,50.0,48.78662182361733,577170.0,121488.0,123406.0,77561.0,80267.0,105141.0,69305.0,420302.0,156869.0,both,6.166122196715529,9.548158011540163,14.154303544095148,12.462870593510056,7.40509949740531,6.799782488273176,4.506179008027722,독립문,0.0,1,4281.663043478261,2334.391304347826,2510.6739130434785,3145.5652173913045,12999.967391304348,3736.586956521739,1861.2065217391305,2003.2608695652175,2726.967391304348,10930.467391304348,14.587539198175502,25.423550642115032,25.329354313619113,15.350305523335761,18.933316626939266
20224,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,75913905,9732,2022,2022,4,7,7800.442355117139,False,6189.834824797844,9523.950262838658,중결제금액 상권,4,2,2,50.0,0,0,both,1,프랜차이즈 비중 높음,470.0,both,663,both,41.48278905560459,75358386.0,0.7371694505240667,20231,22.344650786924092,0,50.58997050147492,높음,9989.0,-2.5728301131244358,46.46017699115044,보통,48.93805309734513,보통,1.4540430472093302,두 분기 모두 증가·유지,0.0,39.233038348082594,보통,4.0,0.0,변화 없음,50.0,40.8480825958702,566740.0,118331.0,122331.0,77133.0,79095.0,102644.0,67207.0,412371.0,154371.0,both,1.4016668276955357,4.298783347116952,10.896569571843461,9.343895155938942,6.167706167706166,2.2099118860839484,-0.6941138629784516,독립문,0.0,1,4681.239130434783,2621.195652173913,2792.141304347826,3311.532608695652,14171.434782608696,4159.065217391304,2211.5108695652175,2456.0108695652175,2938.1739130434785,12450.978260869566,12.555078743655844,18.525108252768362,13.686032050913234,12.70716801325873,13.81784214615578
20231,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,75049747,9134,2023,2023,1,8,8216.525837530107,False,6290.857709491434,9602.827940128296,중결제금액 상권,4,2,2,50.0,0,0,both,1,프랜차이즈 비중 높음,470.0,both,663,both,41.48278905560459,61342892.0,22.344650786924092,20232,-13.142813069250836,1,35.373134328358205,보통,7930.0,15.182849936948294,32.38805970149254,보통,34.179104477611936,보통,0.7371694505240667,두 분기 모두 증가·유지,0.0,27.402985074626862,보통,4.0,0.0,변화 없음,50.0,30.79253731343283,560130.0,117892.0,119832.0,76306.0,78830.0,100857.0,66410.0,405595.0,154533.0,both,5.8166773718215214,8.469789545145968,13.437495354334228,13.81256948154137,10.701702393888501,6.639831098934912,3.713422818791945,독립문,0.0,1,4412.022222222222,2584.0333333333333,2770.233333333333,3259.0555555555557,13787.988888888889,3521.733333333333,1989.0777777777778,2164.777777777778,2738.9444444444443,11086.033333333333,25.27984956902536,29.91112575900612,27.968485346199245,18.98947283016572,24.372608978464406
20232,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,77759383,9601,2023,2023,2,9,8099.0920737423185,False,6129.451910067095,9367.657071828984,중결제금액 상권,5,3,2,40.0,1,0,both,1,프랜차이즈 비중 높음,470.0,both,663,both,41.48278905560459,89525560.0,-13.142813069250836,20233,-13.208223112618189,1,72.96898079763663,높음,11260.0,-14.733570159857901,67.79911373707533,높음,70.90103397341211,높음,22.344650786924092,현재 분기만 감소,75.0,71.82422451994091,높음,4.0,1.0,1개 증가,25.0,64.80059084194977,556223.0,117822.0,119947.0,74991.0,77217.0,99906.0,66339.0,403575.0,152648.0,both,-4.384680178089495,-3.594306335849029,-1.7336268574573488,-2.6169096504060962,-3.7319688954412733,-3.902477355201872,-5.6353700452511095,독립문,0.0,1,4964.197802197802,2698.923076923077,2945.7582417582416,3419.087912087912,14840.758241758242,4590.857142857143,2483.5164835164837,2702.021978021978,3237.5714285714284,13768.934065934065,8.132264797686739,8.673451327433623,9.020513738185464,5.606563052620506,7.784365664703086
